post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,meta:total_sales,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,tax:fb_product_set
"K380 KEYBOARD",k380-multi-device-bluetooth-keyboard,,17,"Dimensions
Height: 4.88 in (124 mm)
Width: 10.98 in (279 mm)
Depth: 0.63 in (16 mm)
Weight: 14.92 oz (423 g) including batteries
Technical Specifications
Connection Type: Bluetooth Classic (3.0)
Wireless range: 10 m (33ft) 1Wireless range may vary due to environmental and computing conditions
Customization software
Logi Options  for Windows (Windows 7,8,10 or later)
Logi Options  for Mac (OS X 10.8 or later)
Battery: 2 x AAA
Battery: 24 months
Indicator Lights (LED): Battery LED, 3 Bluetooth channel LEDs
Special Keys: Hotkeys (Home, Back, App-switch, Contextual Menu), Easy-Switch™
Connect / Power: iPad mini® (5th gen)","Meet K380. A multi-device keyboard with a small footprint and quiet typing for computers, tablets and phone, at home or on-the-go.",publish,,0,"2022-12-23 13:59:19",1,open,27iPad,,,no,no,10,40,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/k380-lavender-gallery-1-us.png ! alt :  ! title : k380-lavender-gallery-1-us.png ! desc :  ! caption : ",,http://localhost/ecs/product/k380-multi-device-bluetooth-keyboard/,0,simple,,"Category|Category > MICE & KEYBOARDS > iPad Keyboards|Category > MICE & KEYBOARDS > Keyboards|Category > MICE & KEYBOARDS",Bluetooth|iPad,,
"LITRA GLOW",litra-glow,,21,"Dimensions
With Monitor Mount, Full Extension
Height: 14.41 in (365.9 mm)
Width: 3.56 in (90.5 mm)
Depth: 1.71 in (43.5 mm)
Weight: 6.24 oz (177 g)
Without Monitor Mount
Height: 3.56 in (90.5 mm)
Width: 3.56 in (90.5 mm)
Depth: 1.08 in (27.5 mm)
Weight: 3.49 oz (99 g)
Cable length
4.92 ft (1.5 m) USB C to USB A cable
Technical Specifications
Color Temperature Range: 2700K - 6500K (Kelvin)
Output: 250 Lumen max output optimized for desktop streaming
Color Rendering Index: 93 CRI 1Measured by independent Logitech study, April 2021.
Lens: Precision Sculpted Optics Lens
Diffuser: Proprietary Frameless Diffuser
Optional Software: Compatible with Logitech G HUB Software for On/Off, brightness, color temperature, presets and G Key assignments
Monitor Mount
4 inch (101.6 mm)vertical telescoping
2 inch (50.8 mm) horizontal extension
360 degree swivel top
Includes cable management
Removable to reveal ¼-20 threads for mounting Litra Glow on standard tripods","Premium LED Streaming Light with TrueSoft
",publish,,0,"2022-12-23 13:59:21",1,open,29Ligh,,,no,no,20,60,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/litra-glow-streaming-light-back-view-graphite.png ! alt :  ! title : litra-glow-streaming-light-back-view-graphite.png ! desc :  ! caption : ",,http://localhost/ecs/product/litra-glow/,0,simple,,"Category|Category > STREAMING > Lighting|Category > STREAMING",Lighting,,
"LITRA BEAM",litra-beam,,23,"Dimensions
Litra Beam Light
Height: 15.75 in (400 mm)
Width: 1.18 in (30 mm)
Depth: 1.18 in (30 mm)
Weight: 6.52 oz (185 g)
Arm
Extended: 24.21 in (61.5 cm)
Collapsed: 14.57 in (37 cm)
Weight: 8.32 oz (236 g)
Base
Diameter: 5.91 in (150 mm)
Height: 0.63 in (16 mm)
Weight: 23.17 oz (657 g)
Cable
Length: 4.92 ft (1.5 m) USB-C to USB-A cable
Technical Specifications
Litra Beam Light
Color Temperature Range: 2700-6500K (Kelvin)
Output: 400 lumen max output optimized for desktop streaming
Color Rendering Index: 93 CRI 1Measured by independent Logitech study, Jan. 2022
Lens: Precision Sculpted Optics Lens
Diffuser: Proprietary Frameless Diffuser
Optional software: Compatible with Logitech G HUB Software for On/Off, brightness, color temperature, presets and G Key assignments
Desktop Mount
9.64 in vertical telescoping
¼-20 rotatable mount
Includes cable management in base
3 ¼-20 threads for mounting Litra Beam to the arm to achieve desired lighting positions","Built for streaming, the Logitech Litra Beam desktop key light with TrueSoft technology makes it easy to achieve professional lighting effects. Direct light where you want it for a cinematic look. Easily swap between lighting techniques to express different moods. Whether you’re shooting a YouTube video, streaming on Twitch or just working from home, Litra Beam ensures you always look your best.",publish,,0,"2022-12-23 13:59:21",1,open,30Ligh,,,no,no,0,100,,,,,,,,outofstock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/litra-beam-lighting-front-view-graphite.png ! alt :  ! title : litra-beam-lighting-front-view-graphite.png ! desc :  ! caption : ",,http://localhost/ecs/product/litra-beam/,0,simple,outofstock,"Category|Category > STREAMING > Lighting|Category > STREAMING",Lighting,,
"SIGNATURE M650",signature-m650,,25,"Signature M650
Height : 108.2 mm
Width : 61 mm
Thickness : 38.8 mm
Weight : 101.4 g","Upgrade for smarter, more comfortable, and more efficient scrolling. The Signature M650 includes SmartWheel scrolling that delivers the precision or speed right when you need it.",publish,,0,"2022-12-23 13:59:22",1,open,31Mice,,,no,no,30,89,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/SIGNATURE-M650.png ! alt :  ! title : SIGNATURE-M650.png ! desc :  ! caption : ",,http://localhost/ecs/product/signature-m650/,0,simple,,"Category|Category > MICE & KEYBOARDS > Mice|Category > MICE & KEYBOARDS",Mice,,
LIFT,lift,,27,"Height : 71 mm
Width : 70 mm
Thickness : 108 mm
Weight : 125 g
Specifications
Sensor technology
Sensor Type : Logitech Advanced Optical Tracking
Dpi Range : 400-4000 dpi (Fully customizable in 100 DPI increments)
Nominal Value : 1000 DPI
Knot
Number of buttons : 6 (Left/right click, Back/Continue, Center button, Scroll button with middle click button)
","Raise your hand comfortably. Adjust into a more natural posture. And relax to focus all day long with the Lift Ergonomic Mouse - an ideal fit for small to medium-sized hands, with a choice of left-handed mice.",publish,,0,"2022-12-23 13:59:23",1,open,32Mice,,,no,no,30,67,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/LIFT.png ! alt :  ! title : LIFT.png ! desc :  ! caption : ",,http://localhost/ecs/product/lift/,0,simple,,"Category|Category > MICE & KEYBOARDS > Mice|Category > MICE & KEYBOARDS",Mice,,
"SILENT WIRELESS MICE M221",silent-wireless-mice-m221,,29,"Mouse
Height : 99 mm
Width : 60 mm
Thickness : 39 mm
Weight (with battery) : 75.2 g
USB receiver
Height : 18.7 mm
Width : 14.4 mm
Thickness : 6.1 mm
Weight : 1.8 g","The wireless mouse is quiet, comfortable and easy to use",publish,,0,"2022-12-23 13:59:24",1,open,33Mice,,,no,no,30,41,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/SILENT-WIRELESS-MICE-M221.png ! alt :  ! title : SILENT-WIRELESS-MICE-M221.png ! desc :  ! caption : ",,http://localhost/ecs/product/silent-wireless-mice-m221/,0,simple,,"Category|Category > MICE & KEYBOARDS > Mice|Category > MICE & KEYBOARDS",Mice,,
"PEBBLE M350",pebble-m350,,31,"Mouse parameters
Height : 26.5 mm
Width : 59 mm
Thickness : 107 mm
Weight (with battery) : 100 g
Nano receiver
Height : 18.7 mm
Width : 14.4 mm
Thickness : 6.1 mm
Weight : 1.8 g","Turn any space into minimalism, modernity and tranquility with Pebble. It's a portable mouse that will go wherever life takes you - with a smooth natural shape and silent clicking and scrolling, so you can focus on your workflow without distractions. those around.",publish,,0,"2022-12-23 13:59:25",1,open,34Mice,,,no,no,30,50,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/PEBBLE-M350.png ! alt :  ! title : PEBBLE-M350.png ! desc :  ! caption : ",,http://localhost/ecs/product/pebble-m350/,0,simple,,"Category|Category > MICE & KEYBOARDS > Mice|Category > MICE & KEYBOARDS",Mice,,
"POP MOUSE",pop-mouse,,33,"Height : 104.8 mm
Width : 59.4 mm
Thickness : 35.2 mm
Weight (with battery) : 82 grams
Specifications
Sensor technology
Sensor Technology: Logitech High Precision Optical Tracking
Dpi range : 1000-4000, nominal value 1000 dpi","Learn about the fun, super-quiet POP Wireless Mouse, designed to highlight your personality in your workspace. Choose your favorite POP Mouse from a range of designs from Logitech, personalize POP Mouse with fun emoji customization.",publish,,0,"2022-12-23 13:59:27",1,open,35Mice,,,no,no,30,33,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/POP-MOUSE.png ! alt :  ! title : POP-MOUSE.png ! desc :  ! caption : ",,http://localhost/ecs/product/pop-mouse/,0,simple,,"Category|Category > MICE & KEYBOARDS > Mice|Category > MICE & KEYBOARDS",Mice,,
"M325 WIRELESS MOUSE",m325-wireless-mouse,,35,"Mouse
Height : 94.7 mm
Width : 57 mm
Thickness : 39.1 mm
Weight (with battery) : 93 g
USB receiver
Height : 14.4 mm
Width : 18.7 mm
Thickness : 6.1 mm
Weight : 1.8 g","The compact, portable Wireless Mouse M325 includes ultra-precise scrolling and tilt buttons for speed and precision. Easy to use and compatible with all major operating systems, it's ready to work in moments.
",publish,,0,"2022-12-23 13:59:28",1,open,36Mice,,,no,no,30,49,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/m325-dark-grey-gallery-1.png ! alt :  ! title : m325-dark-grey-gallery-1.png ! desc :  ! caption : ",,http://localhost/ecs/product/m325-wireless-mouse/,0,simple,,"Category|Category > MICE & KEYBOARDS > Mice|Category > MICE & KEYBOARDS",Mice,,
"M585 MULTI-DEVICE",m585-multi-device,,37,"Mouse
Height : 103 mm
Width : 64 mm
Thickness : 40 mm
Weight (with battery) : 101 g
Logitech Unifying Receiver
Height : 14.4 mm
Width : 18.7 mm
Thickness : 6.1 mm
Weight : 1.8 g","Powerful, precise and quiet, the M585 is designed to perform, and so can you. With its curvaceous, right-handed shape, compact design and long battery life - so you can work anywhere. In addition, there are 5 programmable buttons, dual connectivity, and multi-device workflow.",publish,,0,"2022-12-23 13:59:32",1,open,37Mice,,,no,no,30,30,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/m585-gallery-graphite-1.png ! alt :  ! title : m585-gallery-graphite-1.png ! desc :  ! caption : ",,http://localhost/ecs/product/m585-multi-device/,0,simple,,"Category|Category > MICE & KEYBOARDS > Mice|Category > MICE & KEYBOARDS",Mice,,
"MX MASTER 3S",mx-master-3s,,39,"Mouse MX Master 3S
Height : 124.9 mm
Width : 84.3 mm
Thickness : 51 mm
Weight : 141 g
Logi Bolt . USB Receiver
Height : 18.4 mm
Width : 14.4 mm
Thickness : 6.6 mm
Weight : 2 g","Performance wireless mouse",publish,,0,"2022-12-23 13:59:34",1,open,38Mice,,,no,no,30,19,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/mx-master-3s-mouse-top-view-graphite.png ! alt :  ! title : mx-master-3s-mouse-top-view-graphite.png ! desc :  ! caption : ",,http://localhost/ecs/product/mx-master-3s/,0,simple,,"Category|Category > MICE & KEYBOARDS > Mice|Category > MICE & KEYBOARDS",Mice,,
"PORTABLE M187",wireless-ultra-portable-m187,,41,"Mouse
Height : 81.9 mm
Width : 49.4 mm
Thickness : 31.8 mm
Weight (with battery) : 51.9 g
Receiver
Height : 14.4 mm
Width : 18.7 mm
Thickness : 6.1 mm
Weight : 1.8 g","M187 Ultra Portable Wireless Mouse (M187 Ultra Portable Wireless Mouse). Take it with you wherever you take your laptop—thanks to its ultra-compact pocket design and plug-and-play nano receiver. Enjoy wireless comfort with more precision and control than a laptop trackpad.",publish,,0,"2022-12-23 13:59:35",1,open,40Mice,,,no,no,30,15,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/m187-gallery-black-1-new.png ! alt :  ! title : m187-gallery-black-1-new.png ! desc :  ! caption : ",,http://localhost/ecs/product/wireless-ultra-portable-m187/,0,simple,,"Category|Category > MICE & KEYBOARDS > Mice|Category > MICE & KEYBOARDS",Mice,,
"M190 WIRELESS",m190-full-size-wireless-mouse,,43,"Mouse parameters
Height : 115.4 mm
Width : 66.1 mm
Thickness : 40.3 mm
Weight (with battery) : 89.9 g","The Logitech M190 is a full-size wireless mouse with a comfortable, curvaceous design that follows the natural curve of medium to large hands, allowing you to work wirelessly and move freely with most hands. like no delay or loss of connection.",publish,,0,"2022-12-23 13:59:35",1,open,41Mice,,,no,no,30,16,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/m190-wireless-mouse-charcoal-gallery-01.png ! alt :  ! title : m190-wireless-mouse-charcoal-gallery-01.png ! desc :  ! caption : ",,http://localhost/ecs/product/m190-full-size-wireless-mouse/,0,simple,,"Category|Category > MICE & KEYBOARDS > Mice|Category > MICE & KEYBOARDS",Mice,,
"M720 TRIATHLON",m720-triathlon,,45,"Mouse
Height : 115 mm
Width : 74 mm
Thickness : 45 mm
Weight (with battery) : 135 g with AA . battery
Logitech Unifying Receiver
Height : 14.4 mm
Width : 18.7 mm
Thickness : 6.1 mm
Weight : 1.8 g","Introducing a precision mouse built for exceptional comfort, durability and versatility. With more control, two scroll modes, adjustable dpi tracking, the M720 gives you the power to conquer any task.",publish,,0,"2022-12-23 13:59:36",1,open,42Mice,,,no,no,30,21,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/m720-gallery-1a.png ! alt :  ! title : m720-gallery-1a.png ! desc :  ! caption : ",,http://localhost/ecs/product/m720-triathlon/,0,simple,,"Category|Category > MICE & KEYBOARDS > Mice|Category > MICE & KEYBOARDS",Mice,,
"LOGITECH MOUSE PAD",logitech-mouse-pad-studio-series,,47,"Touchpad
Height : 200 mm
Width : 230 mm
Thickness : 2mm
Weight : 73 g","Introducing a soft, smooth, non-slip trackpad that takes your workspace to the next level. Made from premium materials, the Logitech Trackpad gives you the gliding comfort you need from your favorite Logitech Mouse.",publish,,0,"2022-12-23 13:59:37",1,open,43Mice,,,no,no,30,18,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/logitech-mouse-pad-studio-series-typing-view-blue-grey.png ! alt :  ! title : logitech-mouse-pad-studio-series-typing-view-blue-grey.png ! desc :  ! caption : ",,http://localhost/ecs/product/logitech-mouse-pad-studio-series/,0,simple,,"Category|Category > MICE & KEYBOARDS > Mice|Category > MICE & KEYBOARDS",Mice,,
"LOGITECH DESK MAT",logitech-desk-mat-studio-series,,49,"Desk mats
Wireless headphones : 300 mm
Travel bag : 700 mm
Thickness : 2mm
: 286 g","Introducing an accessory that takes your workspace to the next level, the perfect complement to your Logitech tools. Get the fresh colors you want, the comfort you need and the level of desk protection you expect.

",publish,,0,"2022-12-23 13:59:38",1,open,44Mice,,,no,no,30,11,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/logitech-desk-mat-studio-series-typing-view-mid-grey.png ! alt :  ! title : logitech-desk-mat-studio-series-typing-view-mid-grey.png ! desc :  ! caption : ",,http://localhost/ecs/product/logitech-desk-mat-studio-series/,0,simple,,"Category|Category > MICE & KEYBOARDS > Mice|Category > MICE & KEYBOARDS",Mice,,
"LOGI USB-C TO A ADAPTOR",logi-usb-c-to-a-adaptor,,51,"Adapters
Height : 27.5 mm
Width : 16.4 mm
Thickness : 9.2 mm
Weight : 22 g","Adapts to any Logitech Type-A wireless USB 2.0 receiver or USB-A cord used in the USB-C port. For when you don't have a USB Type-A port but still want to use Logitech's advanced 2.4 GHz wireless USB receiver, Logitech Unifying, or Logi Bolt.",publish,,0,"2022-12-23 13:59:39",1,open,45Mice,,,no,no,30,11,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/logi-usb-adapter-gallery-02.png ! alt :  ! title : logi-usb-adapter-gallery-02.png ! desc :  ! caption : ",,http://localhost/ecs/product/logi-usb-c-to-a-adaptor/,0,simple,,"Category|Category > MICE & KEYBOARDS > Mice|Category > MICE & KEYBOARDS",Mice,,
"LOGI BOLT USB RECEIVER",logi-bolt-usb-receiver,,53,"USB receiver
Height : 18.4 mm
Width : 14.4 mm
Thickness : 6.6 mm
Weight : 2 g","Use this Logi Bolt USB receiver to create a secure, high-performance wireless connection between your mouse, keyboard, or Logi Bolt wireless duo and your computer.",publish,,0,"2022-12-23 13:59:40",1,open,46Mice,,,no,no,30,10,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/logi-bolt-usb-receiver-gallery-01.png ! alt :  ! title : logi-bolt-usb-receiver-gallery-01.png ! desc :  ! caption : ",,http://localhost/ecs/product/logi-bolt-usb-receiver/,0,simple,,"Category|Category > MICE & KEYBOARDS > Mice|Category > MICE & KEYBOARDS",Mice,,
"ADVANCED MK545",advanced-mk545,,55,"Keyboard
Height : 193.5 mm
Width : 457.3 mm
Thickness : 24 mm
Weight (without battery) : 654 g
Mouse
Height : 65 mm
Width : 120 mm
Thickness : 41 mm
Weight : 83g
","Supported by Logi Options  on macOS 10.15 and later and Windows 10 and later.",publish,,0,"2022-12-23 13:59:41",1,open,47Comb,,,no,no,30,18,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/mk545-gallery-1.png ! alt :  ! title : mk545-gallery-1.png ! desc :  ! caption : ",,http://localhost/ecs/product/advanced-mk545/,0,simple,,"Category|Category > MICE & KEYBOARDS > Combo|Category > MICE & KEYBOARDS",Combo,,
"MK295 SILENT WIRELESS COMBO",mk295-silent-wireless-combo,,57,"Keyboard
Height : 149 mm
Width : 441 mm
Thickness : 18 mm
Weight (with battery) : 498 g
Mouse
Height : 99 mm
Width : 60 mm
Thickness : 39 mm
Weight (with battery) : 75.2 g
","Introducing Logitech's MK295 Quiet Wireless Duo - with SilentTouch, Logitech's proprietary technology that eliminates over 90% of mouse and keyboard noise. It gives the same click and tap feel of the world's best-selling duo without the distracting knock and click",publish,,0,"2022-12-23 13:59:45",1,open,48Comb,,,no,no,30,19,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/mk295-graphite-gallery-01-new.png ! alt :  ! title : mk295-graphite-gallery-01-new.png ! desc :  ! caption : ",,http://localhost/ecs/product/mk295-silent-wireless-combo/,0,simple,,"Category|Category > MICE & KEYBOARDS > Combo|Category > MICE & KEYBOARDS",Combo,,
"MK345 AND MOUSE",mk345-comfort-wireless-keyboard-and-mouse-combo,,59,"Keyboard
Height : 186.7 mm
Width : 447.2 mm
Thickness : 21.4 mm
Weight : 603 g
Mouse
Height : 105.4 mm
Width : 67.9 mm
Thickness : 38.4 mm
Weight : 86.4 g","Comfortable wireless duo with armrests",publish,,0,"2022-12-23 13:59:46",1,open,49Comb,,,no,no,30,25,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/mk345-gallery-1-new.png ! alt :  ! title : mk345-gallery-1-new.png ! desc :  ! caption : ",,http://localhost/ecs/product/mk345-comfort-wireless-keyboard-and-mouse-combo/,0,simple,,"Category|Category > MICE & KEYBOARDS > Combo|Category > MICE & KEYBOARDS",Combo,,
"MK235 AND MOUSE",mk235-wireless-keyboard-and-mouse-combo,,61,"Keyboard
Height : 137.5 mm
Width : 435.5 mm
Thickness : 20.5 mm
Weight : 475 g
Mouse
Height : 97.7 mm
Width : 61.5 mm
Thickness : 35.2 mm
Weight : 70.5 g","This duo delivers all the functionality you need in a comfortable, durable design that's easy to use and keeps your space neat and clean. Built with Logitech's renowned quality standards, the MK235 Wireless Duo will stand the test of time.",publish,,0,"2022-12-23 13:59:47",1,open,50Comb,,,no,no,30,23,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/mk235-gallery-01-new.png ! alt :  ! title : mk235-gallery-01-new.png ! desc :  ! caption : ",,http://localhost/ecs/product/mk235-wireless-keyboard-and-mouse-combo/,0,simple,,"Category|Category > MICE & KEYBOARDS > Combo|Category > MICE & KEYBOARDS",Combo,,
"MK200 AND MOUSE",mk200-media-corded-keyboard-and-mouse-combo,,63,"Keyboard
Height : 155 mm
Width : 450 mm
Thickness : 18 mm
Weight : 550g
Cord length : 180cm
Mouse
Height : 113 mm
Width : 62 mm
Thickness : 38 mm
Weight : 90 g
Cord length : 180cm","Just plug in this well-balanced wired mouse and full-sized keyboard via USB and get to work in a snap. The keyboard includes an integrated numeric keypad, complemented by eight easy media access keys, while the mouse provides comfortable palm rest and smooth tracking, making navigating every day becomes easy",publish,,0,"2022-12-23 13:59:47",1,open,51Comb,,,no,no,30,39,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/mk200-gallery-01-new.png ! alt :  ! title : mk200-gallery-01-new.png ! desc :  ! caption : ",,http://localhost/ecs/product/mk200-media-corded-keyboard-and-mouse-combo/,0,simple,,"Category|Category > MICE & KEYBOARDS > Combo|Category > MICE & KEYBOARDS",Combo,,
"ZONE VIBE 100",zone-vibe-100,,65,"Headphone
Height : 183.0 mm
Width : 169.7 mm
Thickness : 73 mm
Weight : 185 g
Earplugs
Height : 98.6 mm
Width : 75.4 mm
Thickness : 19.3 mm","Experience immersive audio with the Zone Vibe 100 wireless headphones. Professional enough for the office. Comfortable enough for the family. Designed for learning and gaming.",publish,,0,"2022-12-23 13:59:48",1,open,52Head,,,no,no,30,106,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/zone-vibe-100-gallery-white-1-1.png ! alt :  ! title : zone-vibe-100-gallery-white-1 ! desc :  ! caption : ",,http://localhost/ecs/product/zone-vibe-100/,0,simple,,"Category|Category > HEADSETS & SPEAKERS > Headsets & Earbuds|Category > HEADSETS & SPEAKERS","Headsets &amp; Earbuds",,
H390,h390-usb-computer-headset,,67,"Height : 171 mm
Width : 151 mm
Thickness : 68 mm
Weight : 0.197 kg
Cord length : 1.9 m","The H390 USB computer headset lets you experience crystal-clear Internet calling with its plug-and-play USB-A connection and noise-cancelling mic. In-line controls let you control volume or mute without interrupting calls.",publish,,0,"2022-12-23 13:59:49",1,open,53Head,,,no,no,30,17,,,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://localhost/ecs/wp-content/uploads/2022/12/h390-gallery-01.png ! alt :  ! title : h390-gallery-01.png ! desc :  ! caption : ",,http://localhost/ecs/product/h390-usb-computer-headset/,0,simple,,"Category|Category > HEADSETS & SPEAKERS > Headsets & Earbuds|Category > HEADSETS & SPEAKERS","Headsets &amp; Earbuds",,
