sku,post_title,post_excerpt,post_content,post_status,regular_price,sale_price,stock_status,stock,manage_stock,weight,Images,tax:product_type,tax:product_cat,tax:product_tag
27iPad,K380 MULTI-DEVICE BLUETOOTH KEYBOARD,"Dimensions
Height: 4.88 in (124 mm)
Width: 10.98 in (279 mm)
Depth: 0.63 in (16 mm)
Weight: 14.92 oz (423 g) including batteries
Technical Specifications
Connection Type: Bluetooth Classic (3.0)
Wireless range: 10 m (33ft) 1Wireless range may vary due to environmental and computing conditions
Customization software
Logi Options+ for Windows (Windows 7,8,10 or later)
Logi Options+ for Mac (OS X 10.8 or later)
Battery: 2 x AAA
Battery: 24 months
Indicator Lights (LED): Battery LED, 3 Bluetooth channel LEDs
Special Keys: Hotkeys (Home, Back, App-switch, Contextual Menu), Easy-Switch™
Connect / Power: iPad mini® (5th gen)","Meet K380. A multi-device keyboard with a small footprint and quiet typing for computers, tablets and phone, at home or on-the-go.",publish,40,,instock,10,yes,,http://localhost/ecs/wp-includes/images/import/k380-lavender-gallery-1-us.png ,simple,Category|Category > MICE & KEYBOARDS|Category > MICE & KEYBOARDS > iPad Keyboards,iPad|Bluetooth
28iPad,K480 MULTI-DEVICE BLUETOOTH KEYBOARD,"Dimensions
Height: 7.68 in (195 mm)
Width: 11.77 in (299 mm)
Depth: 0.79 in (20 mm)
Weight: 28.92 oz (820 g)
Technical Specifications
Connection Type
Bluetooth
Wireless range: >33 ft / 10m wireless range 1Wireless range may vary due to environmental and computing conditions.
Customization software
Logi Options+ for Mac: OS 10.15 or later
Logi Options+ for Windows: 10 or later
Indicator Lights (LED)
Battery indicator light
Battery
Battery: 2 x AAA (included)
Battery life: 24 months 2Battery life may vary based on user and computing","K480 is a comfortable and space-saving multi-device keyboard that brings better typing to your laptop, tablet or phone. With impressive durability and long battery life, this tightly designed is what everyone needs to multi-task and get more done (from anywhere).",publish,50,,instock,20,yes,,http://localhost/ecs/wp-includes/images/import/k480-gallery-white-1-new.png,simple,Category|Category > MICE & KEYBOARDS|Category > MICE & KEYBOARDS > iPad Keyboards,iPad|Bluetooth
29Ligh,LITRA GLOW,"Dimensions
With Monitor Mount, Full Extension
Height: 14.41 in (365.9 mm)
Width: 3.56 in (90.5 mm)
Depth: 1.71 in (43.5 mm)
Weight: 6.24 oz (177 g)
Without Monitor Mount
Height: 3.56 in (90.5 mm)
Width: 3.56 in (90.5 mm)
Depth: 1.08 in (27.5 mm)
Weight: 3.49 oz (99 g)
Cable length
4.92 ft (1.5 m) USB C to USB A cable
Technical Specifications
Color Temperature Range: 2700K - 6500K (Kelvin)
Output: 250 Lumen max output optimized for desktop streaming
Color Rendering Index: 93 CRI 1Measured by independent Logitech study, April 2021.
Lens: Precision Sculpted Optics Lens
Diffuser: Proprietary Frameless Diffuser
Optional Software: Compatible with Logitech G HUB Software for On/Off, brightness, color temperature, presets and G Key assignments
Monitor Mount
4 inch (101.6 mm)vertical telescoping
2 inch (50.8 mm) horizontal extension
360 degree swivel top
Includes cable management
Removable to reveal ¼-20 threads for mounting Litra Glow on standard tripods","Premium LED Streaming Light with TrueSoft
",publish,60,,instock,20,yes,,http://localhost/ecs/wp-includes/images/import/litra-glow-streaming-light-back-view-graphite.png,simple,Category|Category > STREAMING|Category > STREAMING > Lighting,Lighting
30Ligh,LITRA BEAM,"Dimensions
Litra Beam Light
Height: 15.75 in (400 mm)
Width: 1.18 in (30 mm)
Depth: 1.18 in (30 mm)
Weight: 6.52 oz (185 g)
Arm
Extended: 24.21 in (61.5 cm)
Collapsed: 14.57 in (37 cm)
Weight: 8.32 oz (236 g)
Base
Diameter: 5.91 in (150 mm)
Height: 0.63 in (16 mm)
Weight: 23.17 oz (657 g)
Cable
Length: 4.92 ft (1.5 m) USB-C to USB-A cable
Technical Specifications
Litra Beam Light
Color Temperature Range: 2700-6500K (Kelvin)
Output: 400 lumen max output optimized for desktop streaming
Color Rendering Index: 93 CRI 1Measured by independent Logitech study, Jan. 2022
Lens: Precision Sculpted Optics Lens
Diffuser: Proprietary Frameless Diffuser
Optional software: Compatible with Logitech G HUB Software for On/Off, brightness, color temperature, presets and G Key assignments
Desktop Mount
9.64 in vertical telescoping
¼-20 rotatable mount
Includes cable management in base
3 ¼-20 threads for mounting Litra Beam to the arm to achieve desired lighting positions","Built for streaming, the Logitech Litra Beam desktop key light with TrueSoft technology makes it easy to achieve professional lighting effects. Direct light where you want it for a cinematic look. Easily swap between lighting techniques to express different moods. Whether you’re shooting a YouTube video, streaming on Twitch or just working from home, Litra Beam ensures you always look your best.",publish,100,,outofstock,0,yes,,http://localhost/ecs/wp-includes/images/import/litra-beam-lighting-front-view-graphite.png,simple,Category|Category > STREAMING|Category > STREAMING > Lighting,Lighting
31Mice,SIGNATURE M650,"Signature M650
Height : 108.2 mm
Width : 61 mm
Thickness : 38.8 mm
Weight : 101.4 g","Upgrade for smarter, more comfortable, and more efficient scrolling. The Signature M650 includes SmartWheel scrolling that delivers the precision or speed right when you need it.",publish,89,,instock,30,yes,,http://localhost/ecs/wp-includes/images/import/SIGNATURE-M650.png,simple,Category|Category > MICE & KEYBOARDS|Category > MICE & KEYBOARDS > Mice,Mice
32Mice,LIFT,"Height : 71 mm
Width : 70 mm
Thickness : 108 mm
Weight : 125 g
Specifications
Sensor technology
Sensor Type : Logitech Advanced Optical Tracking
Dpi Range : 400-4000 dpi (Fully customizable in 100 DPI increments)
Nominal Value : 1000 DPI
Knot
Number of buttons : 6 (Left/right click, Back/Continue, Center button, Scroll button with middle click button)
","Raise your hand comfortably. Adjust into a more natural posture. And relax to focus all day long with the Lift Ergonomic Mouse - an ideal fit for small to medium-sized hands, with a choice of left-handed mice.",publish,67,,instock,30,yes,,http://localhost/ecs/wp-includes/images/import/LIFT.png,simple,Category|Category > MICE & KEYBOARDS|Category > MICE & KEYBOARDS > Mice,Mice
33Mice,SILENT WIRELESS MICE M221,"Mouse
Height : 99 mm
Width : 60 mm
Thickness : 39 mm
Weight (with battery) : 75.2 g
USB receiver
Height : 18.7 mm
Width : 14.4 mm
Thickness : 6.1 mm
Weight : 1.8 g","The wireless mouse is quiet, comfortable and easy to use",publish,41,,instock,30,yes,,http://localhost/ecs/wp-includes/images/import/SILENT-WIRELESS-MICE-M221.png,simple,Category|Category > MICE & KEYBOARDS|Category > MICE & KEYBOARDS > Mice,Mice
34Mice,PEBBLE M350,"Mouse parameters
Height : 26.5 mm
Width : 59 mm
Thickness : 107 mm
Weight (with battery) : 100 g
Nano receiver
Height : 18.7 mm
Width : 14.4 mm
Thickness : 6.1 mm
Weight : 1.8 g","Turn any space into minimalism, modernity and tranquility with Pebble. It's a portable mouse that will go wherever life takes you - with a smooth natural shape and silent clicking and scrolling, so you can focus on your workflow without distractions. those around.",publish,50,,instock,30,yes,,http://localhost/ecs/wp-includes/images/import/PEBBLE-M350.png,simple,Category|Category > MICE & KEYBOARDS|Category > MICE & KEYBOARDS > Mice,Mice
35Mice,POP MOUSE,"Height : 104.8 mm
Width : 59.4 mm
Thickness : 35.2 mm
Weight (with battery) : 82 grams
Specifications
Sensor technology
Sensor Technology: Logitech High Precision Optical Tracking
Dpi range : 1000-4000, nominal value 1000 dpi","Learn about the fun, super-quiet POP Wireless Mouse, designed to highlight your personality in your workspace. Choose your favorite POP Mouse from a range of designs from Logitech, personalize POP Mouse with fun emoji customization.",publish,33,,instock,30,yes,,http://localhost/ecs/wp-includes/images/import/POP-MOUSE.png,simple,Category|Category > MICE & KEYBOARDS|Category > MICE & KEYBOARDS > Mice,Mice
36Mice,M325 WIRELESS MOUSE,"Mouse
Height : 94.7 mm
Width : 57 mm
Thickness : 39.1 mm
Weight (with battery) : 93 g
USB receiver
Height : 14.4 mm
Width : 18.7 mm
Thickness : 6.1 mm
Weight : 1.8 g","The compact, portable Wireless Mouse M325 includes ultra-precise scrolling and tilt buttons for speed and precision. Easy to use and compatible with all major operating systems, it's ready to work in moments.
",publish,49,,instock,30,yes,,http://localhost/ecs/wp-includes/images/import/m325-dark-grey-gallery-1.png,simple,Category|Category > MICE & KEYBOARDS|Category > MICE & KEYBOARDS > Mice,Mice
37Mice,M585 MULTI-DEVICE,"Mouse
Height : 103 mm
Width : 64 mm
Thickness : 40 mm
Weight (with battery) : 101 g
Logitech Unifying Receiver
Height : 14.4 mm
Width : 18.7 mm
Thickness : 6.1 mm
Weight : 1.8 g","Powerful, precise and quiet, the M585 is designed to perform, and so can you. With its curvaceous, right-handed shape, compact design and long battery life - so you can work anywhere. In addition, there are 5 programmable buttons, dual connectivity, and multi-device workflow.",publish,30,,instock,30,yes,,http://localhost/ecs/wp-includes/images/import/m585-gallery-graphite-1.png,simple,Category|Category > MICE & KEYBOARDS|Category > MICE & KEYBOARDS > Mice,Mice
38Mice,MX MASTER 3S,"Mouse MX Master 3S
Height : 124.9 mm
Width : 84.3 mm
Thickness : 51 mm
Weight : 141 g
Logi Bolt . USB Receiver
Height : 18.4 mm
Width : 14.4 mm
Thickness : 6.6 mm
Weight : 2 g",Performance wireless mouse,publish,19,,instock,30,yes,,http://localhost/ecs/wp-includes/images/import/mx-master-3s-mouse-top-view-graphite.png,simple,Category|Category > MICE & KEYBOARDS|Category > MICE & KEYBOARDS > Mice,Mice
40Mice,WIRELESS ULTRA PORTABLE M187,"Mouse
Height : 81.9 mm
Width : 49.4 mm
Thickness : 31.8 mm
Weight (with battery) : 51.9 g
Receiver
Height : 14.4 mm
Width : 18.7 mm
Thickness : 6.1 mm
Weight : 1.8 g",M187 Ultra Portable Wireless Mouse (M187 Ultra Portable Wireless Mouse). Take it with you wherever you take your laptop—thanks to its ultra-compact pocket design and plug-and-play nano receiver. Enjoy wireless comfort with more precision and control than a laptop trackpad.,publish,15,,instock,30,yes,,http://localhost/ecs/wp-includes/images/import/m187-gallery-black-1-new.png,simple,Category|Category > MICE & KEYBOARDS|Category > MICE & KEYBOARDS > Mice,Mice
41Mice,M190 FULL-SIZE WIRELESS MOUSE,"Mouse parameters
Height : 115.4 mm
Width : 66.1 mm
Thickness : 40.3 mm
Weight (with battery) : 89.9 g","The Logitech M190 is a full-size wireless mouse with a comfortable, curvaceous design that follows the natural curve of medium to large hands, allowing you to work wirelessly and move freely with most hands. like no delay or loss of connection.",publish,16,,instock,30,yes,,http://localhost/ecs/wp-includes/images/import/m190-wireless-mouse-charcoal-gallery-01.png,simple,Category|Category > MICE & KEYBOARDS|Category > MICE & KEYBOARDS > Mice,Mice
42Mice,M720 TRIATHLON,"Mouse
Height : 115 mm
Width : 74 mm
Thickness : 45 mm
Weight (with battery) : 135 g with AA . battery
Logitech Unifying Receiver
Height : 14.4 mm
Width : 18.7 mm
Thickness : 6.1 mm
Weight : 1.8 g","Introducing a precision mouse built for exceptional comfort, durability and versatility. With more control, two scroll modes, adjustable dpi tracking, the M720 gives you the power to conquer any task.",publish,21,,instock,30,yes,,http://localhost/ecs/wp-includes/images/import/m720-gallery-1a.png,simple,Category|Category > MICE & KEYBOARDS|Category > MICE & KEYBOARDS > Mice,Mice
43Mice,LOGITECH MOUSE PAD - STUDIO SERIES,"Touchpad
Height : 200 mm
Width : 230 mm
Thickness : 2mm
Weight : 73 g","Introducing a soft, smooth, non-slip trackpad that takes your workspace to the next level. Made from premium materials, the Logitech Trackpad gives you the gliding comfort you need from your favorite Logitech Mouse.",publish,18,,instock,30,yes,,http://localhost/ecs/wp-includes/images/import/logitech-mouse-pad-studio-series-typing-view-blue-grey.png,simple,Category|Category > MICE & KEYBOARDS|Category > MICE & KEYBOARDS > Mice,Mice
44Mice,LOGITECH DESK MAT - STUDIO SERIES,"Desk mats
Wireless headphones : 300 mm
Travel bag : 700 mm
Thickness : 2mm
: 286 g","Introducing an accessory that takes your workspace to the next level, the perfect complement to your Logitech tools. Get the fresh colors you want, the comfort you need and the level of desk protection you expect.

",publish,11,,instock,30,yes,,http://localhost/ecs/wp-includes/images/import/logitech-desk-mat-studio-series-typing-view-mid-grey.png,simple,Category|Category > MICE & KEYBOARDS|Category > MICE & KEYBOARDS > Mice,Mice
45Mice,LOGI USB-C TO A ADAPTOR,"Adapters
Height : 27.5 mm
Width : 16.4 mm
Thickness : 9.2 mm
Weight : 22 g","Adapts to any Logitech Type-A wireless USB 2.0 receiver or USB-A cord used in the USB-C port. For when you don't have a USB Type-A port but still want to use Logitech's advanced 2.4 GHz wireless USB receiver, Logitech Unifying, or Logi Bolt.",publish,11,,instock,30,yes,,http://localhost/ecs/wp-includes/images/import/logi-usb-adapter-gallery-02.png,simple,Category|Category > MICE & KEYBOARDS|Category > MICE & KEYBOARDS > Mice,Mice
46Mice,LOGI BOLT USB RECEIVER,"USB receiver
Height : 18.4 mm
Width : 14.4 mm
Thickness : 6.6 mm
Weight : 2 g","Use this Logi Bolt USB receiver to create a secure, high-performance wireless connection between your mouse, keyboard, or Logi Bolt wireless duo and your computer.",publish,10,,instock,30,yes,,http://localhost/ecs/wp-includes/images/import/logi-bolt-usb-receiver-gallery-01.png,simple,Category|Category > MICE & KEYBOARDS|Category > MICE & KEYBOARDS > Mice,Mice
47Comb,ADVANCED MK545,"Keyboard
Height : 193.5 mm
Width : 457.3 mm
Thickness : 24 mm
Weight (without battery) : 654 g
Mouse
Height : 65 mm
Width : 120 mm
Thickness : 41 mm
Weight : 83g
",Supported by Logi Options+ on macOS 10.15 and later and Windows 10 and later.,publish,18,,instock,30,yes,,http://localhost/ecs/wp-includes/images/import/mk545-gallery-1.png,simple,Category|Category > MICE & KEYBOARDS|Category > MICE & KEYBOARDS > Combo,Combo
48Comb,MK295 SILENT WIRELESS COMBO,"Keyboard
Height : 149 mm
Width : 441 mm
Thickness : 18 mm
Weight (with battery) : 498 g
Mouse
Height : 99 mm
Width : 60 mm
Thickness : 39 mm
Weight (with battery) : 75.2 g
","Introducing Logitech's MK295 Quiet Wireless Duo - with SilentTouch, Logitech's proprietary technology that eliminates over 90% of mouse and keyboard noise. It gives the same click and tap feel of the world's best-selling duo without the distracting knock and click",publish,19,,instock,30,yes,,http://localhost/ecs/wp-includes/images/import/mk295-graphite-gallery-01-new.png,simple,Category|Category > MICE & KEYBOARDS|Category > MICE & KEYBOARDS > Combo,Combo
49Comb,MK345 COMFORT WIRELESS KEYBOARD AND MOUSE COMBO,"Keyboard
Height : 186.7 mm
Width : 447.2 mm
Thickness : 21.4 mm
Weight : 603 g
Mouse
Height : 105.4 mm
Width : 67.9 mm
Thickness : 38.4 mm
Weight : 86.4 g",Comfortable wireless duo with armrests,publish,25,,instock,30,yes,,http://localhost/ecs/wp-includes/images/import/mk345-gallery-1-new.png,simple,Category|Category > MICE & KEYBOARDS|Category > MICE & KEYBOARDS > Combo,Combo
50Comb,MK235 WIRELESS KEYBOARD AND MOUSE COMBO,"Keyboard
Height : 137.5 mm
Width : 435.5 mm
Thickness : 20.5 mm
Weight : 475 g
Mouse
Height : 97.7 mm
Width : 61.5 mm
Thickness : 35.2 mm
Weight : 70.5 g","This duo delivers all the functionality you need in a comfortable, durable design that's easy to use and keeps your space neat and clean. Built with Logitech's renowned quality standards, the MK235 Wireless Duo will stand the test of time.",publish,23,,instock,30,yes,,http://localhost/ecs/wp-includes/images/import/mk235-gallery-01-new.png,simple,Category|Category > MICE & KEYBOARDS|Category > MICE & KEYBOARDS > Combo,Combo
51Comb,MK200 MEDIA CORDED KEYBOARD AND MOUSE COMBO,"Keyboard
Height : 155 mm
Width : 450 mm
Thickness : 18 mm
Weight : 550g
Cord length : 180cm
Mouse
Height : 113 mm
Width : 62 mm
Thickness : 38 mm
Weight : 90 g
Cord length : 180cm","Just plug in this well-balanced wired mouse and full-sized keyboard via USB and get to work in a snap. The keyboard includes an integrated numeric keypad, complemented by eight easy media access keys, while the mouse provides comfortable palm rest and smooth tracking, making navigating every day becomes easy",publish,39,,instock,30,yes,,http://localhost/ecs/wp-includes/images/import/mk200-gallery-01-new.png,simple,Category|Category > MICE & KEYBOARDS|Category > MICE & KEYBOARDS > Combo,Combo
